eps,min_samples,n_clusters,noise_points,noise_perct,silhouette
0.5,5,27,4804,53.7,-0.42199747336073096
0.5,8,12,5298,59.2,-0.3650964194440147
0.5,11,8,5774,64.5,-0.12682358690924828
0.5,15,5,6119,68.4,0.1964185227481988
0.8,5,21,2381,26.6,-0.29250298805292685
0.8,8,10,2804,31.3,-0.12320201155818718
0.8,11,8,3077,34.4,0.10529682196814961
0.8,15,4,3343,37.4,0.285868112380591
1.0,5,9,1403,15.7,0.05682153667280471
1.0,8,3,1631,18.2,0.21967497877275796
1.0,11,1,1797,20.1,
1.0,15,2,2078,23.2,0.3695416117684648
1.5,5,2,489,5.5,0.297730428696846
1.5,8,1,565,6.3,
1.5,11,1,645,7.2,
1.5,15,1,720,8.0,
2.0,5,1,213,2.4,
2.0,8,1,238,2.7,
2.0,11,1,264,2.9,
2.0,15,1,290,3.2,
