,,0,1,2,3,4,5
BALANCE,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
BALANCE,mean,4051.682220347973,105.04479299099836,945.1096204073319,5321.883878465042,859.4970726795252,1494.7471002384939
BALANCE,std,3567.9629455866097,224.80794812310356,1214.4952053664422,2688.824896581458,1081.8852457521095,1146.27875562592
BALANCE,min,4.382924,0.0,1.198223,78.114579,0.0,0.48805
BALANCE,25%,1119.307971,6.970297,100.26047575,3291.702881,75.80904225,683.82612525
BALANCE,50%,3009.3864345,23.4008465,399.330461,5239.2641810000005,464.8386485,1231.7191155
BALANCE,75%,5935.98626975,85.8741455,1349.40937425,6893.200923750001,1188.01226425,1991.62088275
BALANCE,max,19043.13856,2075.637866,8281.348085,16304.88925,7215.19576,6963.435383
BALANCE_FREQUENCY,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
BALANCE_FREQUENCY,mean,0.981848902027027,0.3733451039279869,0.9692808367277665,0.9712080858050848,0.8037439554896143,0.9730379351464437
BALANCE_FREQUENCY,std,0.0897319711584083,0.19336451374085512,0.07786199230720788,0.09216907498634705,0.23275222668573103,0.07263611504013312
BALANCE_FREQUENCY,min,0.090909,0.0,0.454545,0.181818,0.0,0.545455
BALANCE_FREQUENCY,25%,1.0,0.2,1.0,1.0,0.666667,1.0
BALANCE_FREQUENCY,50%,1.0,0.363636,1.0,1.0,0.875,1.0
BALANCE_FREQUENCY,75%,1.0,0.545455,1.0,1.0,1.0,1.0
BALANCE_FREQUENCY,max,1.0,0.727273,1.0,1.0,1.0,1.0
PURCHASES,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
PURCHASES,mean,8647.275304054056,363.00960720130934,1483.3786150712833,616.141091101695,433.7316765578635,255.0510076708508
PURCHASES,std,6765.299024855373,518.9612970428014,1277.7386067410343,989.8326521517273,675.7223234882322,435.1078103947873
PURCHASES,min,130.24,0.0,8.4,0.0,0.0,0.0
PURCHASES,25%,5084.62,52.5,522.05,0.0,0.0,0.0
PURCHASES,50%,6733.785,178.075,1080.67,159.5,178.41500000000002,60.0
PURCHASES,75%,9740.4325,457.675,2083.9474999999998,879.4300000000001,554.79,338.92499999999995
PURCHASES,max,49039.57,5252.04,8834.96,7194.53,6520.0,4900.0
CASH_ADVANCE,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
CASH_ADVANCE,mean,812.7175100844594,298.68541115220955,181.60331649389005,5040.5972341027555,1058.9514059139467,749.0509393943515
CASH_ADVANCE,std,2184.5609639901522,797.9061301395753,550.0427840401824,3853.5489823451176,1436.3495909093874,973.1019831028909
CASH_ADVANCE,min,0.0,0.0,0.0,0.0,0.0,0.0
CASH_ADVANCE,25%,0.0,0.0,0.0,2798.3621595000004,0.0,0.0
CASH_ADVANCE,50%,0.0,0.0,0.0,4198.0479159999995,397.48340099999996,299.0917015
CASH_ADVANCE,75%,465.24852625,0.0,0.0,6172.371601,1618.53116575,1189.7503585
CASH_ADVANCE,max,19513.47483,6523.780195,7894.578816,47137.21176,9579.677222,6479.639793
PURCHASES_FREQUENCY,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
PURCHASES_FREQUENCY,mean,0.9389025472972974,0.29100306137479537,0.8992785298710116,0.32672401588983047,0.4356389258160237,0.17566034065550906
PURCHASES_FREQUENCY,std,0.16102043082230635,0.27165476891377965,0.14440553350222574,0.37329179160403875,0.4013250940409732,0.21346654350806882
PURCHASES_FREQUENCY,min,0.083333,0.0,0.25,0.0,0.0,0.0
PURCHASES_FREQUENCY,25%,1.0,0.083333,0.833333,0.0,0.0,0.0
PURCHASES_FREQUENCY,50%,1.0,0.25,1.0,0.166667,0.333333,0.083333
PURCHASES_FREQUENCY,75%,1.0,0.416667,1.0,0.666667,0.857143,0.333333
PURCHASES_FREQUENCY,max,1.0,1.0,1.0,1.0,1.0,1.0
CASH_ADVANCE_FREQUENCY,count,296.0,1222.0,2946.0,944.0,674.0,2868.0
CASH_ADVANCE_FREQUENCY,mean,0.08392196283783783,0.03125276104746318,0.03697050373387644,0.46380275953389827,0.1982943293768546,0.16252215167364015
CASH_ADVANCE_FREQUENCY,std,0.17372031820487208,0.06644526623288208,0.09316413914040086,0.23674676087832772,0.23280392227419186,0.16709170912383303
CASH_ADVANCE_FREQUENCY,min,0.0,0.0,0.0,0.0,0.0,0.0
CASH_ADVANCE_FREQUENCY,25%,0.0,0.0,0.0,0.25,0.0,0.0
CASH_ADVANCE_FREQUENCY,50%,0.0,0.0,0.0,0.416667,0.142857,0.090909
CASH_ADVANCE_FREQUENCY,75%,0.083333,0.0,0.0,0.666667,0.333333,0.25
CASH_ADVANCE_FREQUENCY,max,1.0,0.416667,0.833333,1.25,1.5,1.0
